publico_top_pct,clientes_abordados,churners_no_grupo,horizonte,arpu_medio,margem_assumida,uplift_assumido,custo_unitario_assumido,receita_preservada_estimada,custo_total_estimado,roi_estimado
5%,352,307,mensal,64.76169246059918,0.7,0.1,5,1391.7287709782763,1760,-0.20924501648961574
5%,352,307,mensal,64.76169246059918,0.7,0.1,10,1391.7287709782763,3520,-0.6046225082448079
5%,352,307,mensal,64.76169246059918,0.7,0.1,20,1391.7287709782763,7040,-0.802311254122404
5%,352,307,mensal,64.76169246059918,0.7,0.2,5,2783.4575419565526,1760,0.5815099670207685
5%,352,307,mensal,64.76169246059918,0.7,0.2,10,2783.4575419565526,3520,-0.20924501648961574
5%,352,307,mensal,64.76169246059918,0.7,0.2,20,2783.4575419565526,7040,-0.6046225082448079
5%,352,307,mensal,64.76169246059918,0.7,0.3,5,4175.1863129348285,1760,1.3722649505311526
5%,352,307,mensal,64.76169246059918,0.7,0.3,10,4175.1863129348285,3520,0.18613247526557627
5%,352,307,mensal,64.76169246059918,0.7,0.3,20,4175.1863129348285,7040,-0.40693376236721185
10%,704,550,mensal,64.76169246059918,0.7,0.1,5,2493.3251597330686,3520,-0.29166898871219643
10%,704,550,mensal,64.76169246059918,0.7,0.1,10,2493.3251597330686,7040,-0.6458344943560982
10%,704,550,mensal,64.76169246059918,0.7,0.1,20,2493.3251597330686,14080,-0.822917247178049
10%,704,550,mensal,64.76169246059918,0.7,0.2,5,4986.650319466137,3520,0.4166620225756072
10%,704,550,mensal,64.76169246059918,0.7,0.2,10,4986.650319466137,7040,-0.29166898871219643
10%,704,550,mensal,64.76169246059918,0.7,0.2,20,4986.650319466137,14080,-0.6458344943560982
10%,704,550,mensal,64.76169246059918,0.7,0.3,5,7479.9754791992045,3520,1.1249930338634104
10%,704,550,mensal,64.76169246059918,0.7,0.3,10,7479.9754791992045,7040,0.06249651693170519
10%,704,550,mensal,64.76169246059918,0.7,0.3,20,7479.9754791992045,14080,-0.4687517415341474
15%,1056,768,mensal,64.76169246059918,0.7,0.1,5,3481.5885866818116,5280,-0.34060822221935383
15%,1056,768,mensal,64.76169246059918,0.7,0.1,10,3481.5885866818116,10560,-0.6703041111096769
15%,1056,768,mensal,64.76169246059918,0.7,0.1,20,3481.5885866818116,21120,-0.8351520555548384
15%,1056,768,mensal,64.76169246059918,0.7,0.2,5,6963.177173363623,5280,0.3187835555612923
15%,1056,768,mensal,64.76169246059918,0.7,0.2,10,6963.177173363623,10560,-0.34060822221935383
15%,1056,768,mensal,64.76169246059918,0.7,0.2,20,6963.177173363623,21120,-0.6703041111096769
15%,1056,768,mensal,64.76169246059918,0.7,0.3,5,10444.765760045433,5280,0.9781753333419381
15%,1056,768,mensal,64.76169246059918,0.7,0.3,10,10444.765760045433,10560,-0.010912333329030953
15%,1056,768,mensal,64.76169246059918,0.7,0.3,20,10444.765760045433,21120,-0.5054561666645154
20%,1409,964,mensal,64.76169246059918,0.7,0.1,5,4370.119007241232,7045,-0.3796850238124582
20%,1409,964,mensal,64.76169246059918,0.7,0.1,10,4370.119007241232,14090,-0.6898425119062291
20%,1409,964,mensal,64.76169246059918,0.7,0.1,20,4370.119007241232,28180,-0.8449212559531145
20%,1409,964,mensal,64.76169246059918,0.7,0.2,5,8740.238014482464,7045,0.24062995237508358
20%,1409,964,mensal,64.76169246059918,0.7,0.2,10,8740.238014482464,14090,-0.3796850238124582
20%,1409,964,mensal,64.76169246059918,0.7,0.2,20,8740.238014482464,28180,-0.6898425119062291
20%,1409,964,mensal,64.76169246059918,0.7,0.3,5,13110.357021723696,7045,0.8609449285626254
20%,1409,964,mensal,64.76169246059918,0.7,0.3,10,13110.357021723696,14090,-0.06952753571868732
20%,1409,964,mensal,64.76169246059918,0.7,0.3,20,13110.357021723696,28180,-0.5347637678593437
